645,19000000,63980721,Warner Bros.
646,19000000,381906762,Universal Pictures
647,6000000,17307019,SLM Production Group
648,15000000,14643997,Paramount Pictures
649,1000000,51525171,Universal Pictures
650,17500000,85313124,Twentieth Century Fox
651,44000000,300400432,Estudios Churubusco Azteca S.A.
652,8000000,48230162,Universal Pictures
653,24500000,15502112,Legend Production Company
654,4000000,14237880,Cinema '84
655,10000000,37803872,Columbia Pictures
656,15000000,9949953,Embassy International Pictures
657,6900000,41410568,The Malpaso Company
658,,33086611,Atlantic Entertainment Group
659,8000000,12952019,Delphi III Productions
660,10000000,57491000,SLM Production Group
661,12000000,68706993,Paramount Pictures
662,15000000,98467863,Amblin Entertainment
663,26000000,32192570,Columbia Pictures
664,30000000,300473716,United Artists
665,,10297601,A&M Films
666,11500000,4164283,Greenwich Film Productions
667,20000000,18432000,Twentieth Century Fox
668,3000000,21041453,Goldcrest Films International
669,17900000,6951415,Dino De Laurentiis Company
670,9000000,24922237,Columbia Pictures
671,25000000,9873044,Paramount Pictures
672,6500000,,Riverside Pictures
673,10000000,36230219,Kennedy Miller Productions
674,4500000,10609321,The Geffen Company
675,30000000,50327960,Eon Productions
676,8000000,59612888,Universal Pictures
677,19000000,12918858,Columbia Pictures
678,3000000,29999213,New Line Cinema
679,,24689703,Paramount Pictures
680,25000000,11603545,Golan-Globus Productions
681,6000000,40940662,Warner Bros.
682,31000000,227514205,Mirage Enterprises
683,3500000,5000000,United Film Distribution Company (UFDC)
684,,11528900,Columbia Pictures
685,17000000,49364621,National Lampoon
686,22000000,60088980,Warner Bros.
687,3000000,19444631,New World Pictures
688,7600000,55600000,Warner Bros.
689,44000000,21288692,Walt Disney Pictures
690,2200000,21930418,Georgetown Productions Inc.
691,9000000,7683620,Golan-Globus Productions
692,900000,2023414,Empire Pictures
693,20000000,45833132,Universal Pictures
694,10000000,25754284,Delphi III Productions
695,,3099497,Gomillion Studios
696,4500000,27398584,Orion Pictures
697,,6326051,New World Pictures
698,,12993175,Warner Bros.
699,15000000,40491165,Columbia Pictures
700,40000000,12303411,Twentieth Century Fox
701,,9369329,New World Pictures
702,,19875740,HBO Pictures
703,25000000,96773200,SLM Production Group
704,3200000,10000000,Night Life Inc.
705,,331816,Delphi III Productions
706,,113164,Golden Way Films Ltd.
707,8000000,7562164,Universal Pictures
708,4500000,18135531,Embassy Pictures
709,20000000,42160849,Columbia Pictures
710,,8692426,Twentieth Century Fox
711,7000000,12361866,Dino De Laurentiis Company
712,,17009654,HB Filmes
713,,2455535,Working Title Films
714,18000000,19739575,Amblin Entertainment
715,2400000,16785,American Playhouse
716,9000000,20518905,Melvin Simon Productions
717,24000000,18707466,Dino De Laurentiis Company
718,,26657534,ABC Motion Pictures
719,1000000,2123135,Cinepro
720,,444213,Itami Productions
721,750000,,Trans World Entertainment (TWE)
722,,8622757,Orion Pictures
723,,4662137,Seasonal Film Corporation
724,,7840873,Paramount Pictures
725,5000000,569996,Zoetrope Studios
726,27000000,14202899,Embassy Pictures
727,7000000,13086298,Dino De Laurentiis Company
728,13000000,30867525,Columbia Pictures
729,,6070794,HBO Pictures
730,,1420355,WW Production
731,,9708373,Walt Disney Pictures
732,,19632,Pfeiffer/Blocker Production
733,7000000,91666,Warner Bros.
734,,10806919,Universal Pictures
735,9000000,16116878,The Cannon Group
736,12500000,15057465,The Cannon Group
737,1000000,10499694,The Cannon Group
738,,24468550,Christel Films
739,,393825,Edie & Ely Landau Inc.
740,12000000,17130087,Hemdale
741,3000000,7196872,Balcor Film Investors
742,1250000,2492088,Desert Hearts Productions
743,,3852271,Engelberg-Sumner-Cheikes
744,15000000,10631333,Jack Rollins & Charles H. Joffe Productions
745,16000000,8645411,Twentieth Century Fox
746,,8349284,Svensk Filmindustri (SF)
747,,4122748,Touchstone Pictures
748,,,Fifteen
749,,3333306,New World Pictures
750,,199108,Columbia Pictures
751,,14100000,Marimark Productions
752,10000000,17536256,Cannon Films
753,28000000,358574,Goldcrest Films International
754,,10179000,The Geffen Company
755,,390659,Les Films du Loup
756,,10627754,SLM Production Group
757,,2278264,Cinema VII
758,,836156,Cinema '84
759,,14972297,Silver Screen Partners II
760,7000000,20345361,Orion Pictures
761,3000000,5101,Columbia Pictures
762,,5730596,Metro-Goldwyn-Mayer (MGM)
763,,9085049,HBO Pictures
764,,1878561,Rastar Films
765,,5622787,Avenging Venture
766,50000000,23717291,GGG
767,,8630068,Media Ventures
768,10000000,25627836,Columbia Pictures
769,,6090497,Paramount Pictures
770,,849915,Atlantic
771,22000000,8489518,Universal Pictures
